Post Text,Eating Behavior
PSA: the breakup hit different at 2am when I found myself stress-eating leftover cake. Not okay.,emotional
Feeling really vulnerable sharing this but tried intermittent fasting for a week but realized three regular meals work better for me.,normal
"Anyone else relate? cooked a proper meal today – grilled chicken, brown rice and veggies. Proud of myself! No shame.",normal
Been looking into weight loss surgery. Not taking it lightly but I feel like I've exhausted other options. Send help.,obesity
Cried all evening and somehow ended up in the kitchen eating everything in sight. No shame.,emotional
Rant incoming: drinking more water and eating more fiber has really helped my digestion. Working on it.,normal
Hot take: didn't finish my whole plate today. Just stopped when I was full. Progress!,normal
High stress = high sugar cravings. I've eaten more candy this week than I have in a year. One day at a time.,stress
Day 3 of trying to eat better and ate slowly today and really savored my food. Didn't need a second helping.,normal
Rant incoming: cried all evening and somehow ended up in the kitchen eating everything in sight.,emotional
"So I've been thinking... i'm a happy eater, a sad eater, and an angry eater. Basically any emotion = eating. Anyone else?",emotional
Real talk: under deadline stress I either don't eat at all or eat everything. Zero regulation. Working on it.,stress
Update: had a nice bowl of lentil soup for dinner. Nothing fancy but nutritious. 😅,normal
Emotional eating is real y'all. Ate half a cheesecake after the breakup news. Anyone else?,emotional
Eating in front of people is one of my biggest triggers. I always feel judged.,anxiety
Rant incoming: nothing fixes a bad day like a big plate of mac and cheese. Food is comfort. No shame.,emotional
Real talk: my cortisol must be through the roof. All I want to eat is carbs and sugar. Just needed to share this.,stress
So I've been thinking... under deadline stress I either don't eat at all or eat everything. Zero regulation. Anyone else?,stress
Feeling really vulnerable sharing this but my portions have been out of control for so long that I don't even know what a normal serving looks like. Working on it.,obesity
throwback to last week when bought a scale for the first time in years. The number shocked me. Time to take this seriously.,obesity
I feel sick before social events that involve food. What if I make wrong choices? Send help.,anxiety
Real talk: ate three bowls of pasta after getting some bad news. Just needed to feel something warm. Send help.,emotional
Had a small piece of cake at my friend's birthday. Enjoyed it and moved on. Open to advice.,normal
Story time: i don't eat when I'm hungry. I eat when I feel things. That's not the same. Not okay.,emotional
"Honestly, my fear of choking makes every meal a stressful experience. Eating shouldn't feel like this. Therapy is helping.",anxiety
Rant incoming: the uncertainty of eating out makes me want to just never go to restaurants again. Just needed to share this.,anxiety
Story time: under deadline stress I either don't eat at all or eat everything. Zero regulation.,stress
So I've been thinking... feeling really in tune with my body's hunger signals lately. Eating feels natural. Trying to do better.,normal
Day 3 of trying to eat better and my cortisol must be through the roof. All I want to eat is carbs and sugar. 💪,stress
throwback to last week when my BMI is 42 and my doctor is concerned about diabetes. Finally ready to commit to changing. Therapy is helping.,obesity
I can't walk up a flight of stairs without getting winded. Something has to change. 🤦,obesity
Rant incoming: i feel sick before social events that involve food. What if I make wrong choices?,anxiety
Nothing fixes a bad day like a big plate of mac and cheese. Food is comfort. One day at a time.,emotional
"So I've been thinking... i eat when I'm happy, sad, bored, stressed, lonely, celebrating. Food is attached to every moment.",obesity
Confession: my fear of choking makes every meal a stressful experience. Eating shouldn't feel like this. Trying to do better.,anxiety
Day 3 of trying to eat better and ate slowly today and really savored my food. Didn't need a second helping.,normal
PSA: drinking more water and eating more fiber has really helped my digestion. 💪,normal
"Real talk: made smoothies with spinach, banana and almond milk all week. Feeling energetic. Just needed to share this.",normal
Can't believe I'm posting this but too stressed to meal prep this week. Eating random snacks and calling it a diet. Working on it.,stress
"Not gonna lie, my knees hurt every morning when I wake up. The doctor says my weight is a major factor. Just needed to share this.",obesity
Rant incoming: tried intermittent fasting for a week but realized three regular meals work better for me. One day at a time.,normal
"Honestly, tried to tie my shoes and realized how difficult it had become. That was my wake-up call. lol.",obesity
Real talk: the breakup hit different at 2am when I found myself stress-eating leftover cake. Just needed to share this.,emotional
"Anyone else relate? ate way too much at dinner – not because I was hungry, just because I was feeling really down. No shame.",emotional
Feeling really vulnerable sharing this but i photograph every meal before eating it so I can review and reassure myself it was the right choice.,anxiety
"Rant incoming: i eat when I'm bored, when I'm sad, when I'm happy. Food is literally my emotion regulator.",emotional
throwback to last week when had a nice bowl of lentil soup for dinner. Nothing fancy but nutritious. 🤦,normal
Joined an online support group for people dealing with obesity. First step is admitting I need help. Therapy is helping.,obesity
"Update: ate way too much at dinner – not because I was hungry, just because I was feeling really down.",emotional
"Not gonna lie, been looking into weight loss surgery. Not taking it lightly but I feel like I've exhausted other options. No shame.",obesity
"Not gonna lie, joined an online support group for people dealing with obesity. First step is admitting I need help. Send help.",obesity
Day 3 of trying to eat better and drinking more water and eating more fiber has really helped my digestion. Anyone else?,normal
Anyone else relate? the uncertainty of eating out makes me want to just never go to restaurants again. Trying to do better.,anxiety
Just venting but i obsessively read ingredients labels even for foods I've eaten safely hundreds of times. 😅,anxiety
Drinking more water and eating more fiber has really helped my digestion. Open to advice.,normal
Story time: grilled some salmon with roasted sweet potato for dinner. So good and filling. Not okay.,normal
Story time: i photograph every meal before eating it so I can review and reassure myself it was the right choice. No shame.,anxiety
I eat past fullness every single meal. It's like there's no off switch. 🤦,obesity
"Feeling really vulnerable sharing this but made smoothies with spinach, banana and almond milk all week. Feeling energetic. lol.",normal
"Update: i skip breakfast when I'm overwhelmed. It's not intentional, my brain just won't let me think about food. Therapy is helping.",stress
"Not gonna lie, my knees hurt every morning when I wake up. The doctor says my weight is a major factor. Trying to do better.",obesity
Sometimes I can't eat for 24 hours because my anxiety is so bad my stomach feels like it's in knots.,anxiety
So I've been thinking... went to the amusement park and had to leave a ride because the safety bar wouldn't close. I cried in the parking lot. 🤦,obesity
Day 3 of trying to eat better and i have a very limited safe foods list and eating anything outside it sends me into panic. Just needed to share this.,anxiety
Too stressed to meal prep this week. Eating random snacks and calling it a diet. Trying to do better.,stress
Confession: food is the only thing that doesn't let me down. I know that's unhealthy to say. No shame.,emotional
"Honestly, been looking into weight loss surgery. Not taking it lightly but I feel like I've exhausted other options. 💪",obesity
My colleagues are impressed by how productive I am under pressure. They don't see the midnight snacking. 🤦,stress
Confession: too stressed to cook so I've been living on vending machine snacks all week.,stress
Anyone else relate? my cortisol must be through the roof. All I want to eat is carbs and sugar.,stress
"Not gonna lie, stress eating my way through finals week and I have zero regrets. Survival mode. Trying to do better.",stress
Rant incoming: i've turned down social events because of the food aspect. Easier to avoid than to cope. Working on it.,anxiety
Update: had a nice bowl of lentil soup for dinner. Nothing fancy but nutritious.,normal
"Honestly, my knees hurt every morning when I wake up. The doctor says my weight is a major factor. Working on it.",obesity
Hot take: i don't eat when I'm hungry. I eat when I feel things. That's not the same.,emotional
Rant incoming: nothing fixes a bad day like a big plate of mac and cheese. Food is comfort. No shame.,emotional
Felt really overwhelmed today and didn't even realize I'd eaten an entire pack of biscuits. Send help.,emotional
PSA: high stress = high sugar cravings. I've eaten more candy this week than I have in a year. Trying to do better.,stress
Feeling really in tune with my body's hunger signals lately. Eating feels natural.,normal
So I've been thinking... cooked a stir fry with tofu and seasonal veggies for the first time – turned out amazing!,normal
throwback to last week when listening to my hunger cues more lately. Only eating when I'm actually hungry. Working on it.,normal
"Day 3 of trying to eat better and sleep apnea, high blood pressure, joint pain. My doctor says they're all weight-related. Just needed to share this.",obesity
Drinking more water and eating more fiber has really helped my digestion. It is what it is.,normal
Anyone else relate? the clothes I bought six months ago don't fit anymore. I keep telling myself I'll lose it but I haven't. Trying to do better.,obesity
Feeling really vulnerable sharing this but my fear of food contamination makes me wash everything multiple times before I cook.,anxiety
Day 3 of trying to eat better and the uncertainty of eating out makes me want to just never go to restaurants again. Not okay.,anxiety
So I've been thinking... eating three meals a day has been helping my energy levels so much lately. Not okay.,normal
So I've been thinking... grilled some salmon with roasted sweet potato for dinner. So good and filling. It is what it is.,normal
"Feeling really vulnerable sharing this but i eat when I'm bored, when I'm sad, when I'm happy. Food is literally my emotion regulator.",emotional
Real talk: tried meal prepping for the first time this week. Dinner every night was so easy. 💪,normal
My cortisol must be through the roof. All I want to eat is carbs and sugar.,stress
"Confession: the project launch has me eating at my desk, working 12 hour days, and surviving on coffee. No shame.",stress
The uncertainty of eating out makes me want to just never go to restaurants again.,anxiety
Rant incoming: i inhale my food when stressed. Don't even taste it. Just fuel to keep going.,stress
